,_District,Rural_/_Urban,Male_/_Female,In_school_with_pre-primary_as_percent_of_pre-primary_population,In_school_with_Primary_education_as_%_of_primary_school_age_population,In_school_with_Secondary_education_as_percent_of_secondary_school_age_population,In_school_with_Tertiary_education_as_%_of_population,University_students_as_%_of_population,Youth_Polytechnic_students_as_percent_of_population,%_of_people_with_over_3_years_Basic_Literacy,Students_in_Madrassa_school_as_percent_of_school_age_children,No_of_people_over_3_years_in_school_with_Pre-Primary_education,No_of_people_over_3_years_in_school_with_Primary_education,No_of_people_over_3_years_in_school_with_Secondary_education,No_of_people_over_3_years_in_school_with_Tertiary_education,No_of_people_over_3_years_in_University,Youth_Polytechnic,No_of_people_over_3_years_with_Basic_Literacy,No_of_people_over_3_years_in__Madrassa_school,Population,pre-primary_school_age_children,Primary_school_age_children,Secondary_School_age_children,School_age_children,Tertiary_age_population,County,Province,Census_Table,MTEF_Sector,MTP_Sector,Longtitude,Latitude,Geolocation,OBJECTID
143,MAARA,Rural,Male,63.82%,125.48%,66.84%,5.01%,3.31%,2.32%,0.04%,0.02%,1242,9131,2040,162,107,75,5,2,12764,1946,7277,3052,12275,3231,Meru,EASTERN,"Table 3b: Urban Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,37.62522793,-0.228019729,"(-0.228019729, 37.62522793)",142
144,MAARA,Rural,Female,60.35%,121.9%,71.9%,5.16%,2.94%,1.08%,0.08%,0%,1192,8583,2203,172,98,36,10,0,12294,1975,7041,3064,12080,3333,Meru,EASTERN,"Table 3b: Urban Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,37.62522793,-0.228019729,"(-0.228019729, 37.62522793)",143
145,IGEMBE,Rural,Male,64.81%,115.93%,30.24%,1.91%,1.29%,0.3%,0.03%,0%,10079,60846,6157,404,273,64,23,3,77849,15551,52486,20363,88400,21126,Meru,EASTERN,"Table 3b: Urban Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,38.05720532,0.303772382,"(0.303772382, 38.05720532)",144
146,IGEMBE,Rural,Female,64.65%,118.42%,30.01%,1.81%,0.64%,0.35%,0.07%,0%,9647,62216,6323,445,158,85,58,2,78934,14921,52539,21071,88531,24542,Meru,EASTERN,"Table 3b: Urban Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,38.05720532,0.303772382,"(0.303772382, 38.05720532)",145
147,TIGANIA,Rural,Male,58.5%,125.66%,39.23%,2.48%,1.82%,1.16%,0.03%,0.01%,5796,42235,5045,303,222,141,18,3,53763,9908,33611,12859,56378,12200,Meru,EASTERN,"Table 3b: Urban Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,37.77333779,0.256927453,"(0.256927453, 37.77333779)",146
148,TIGANIA,Rural,Female,58.63%,127.7%,38.46%,2.6%,0.95%,0.68%,0.07%,0%,5534,42716,5262,358,130,94,40,0,54134,9439,33450,13683,56572,13751,Meru,EASTERN,"Table 3b: Urban Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,37.77333779,0.256927453,"(0.256927453, 37.77333779)",147
149,THARAKA,Rural,Male,76.38%,130.45%,45.48%,3.22%,1.98%,3.33%,0.06%,0%,3027,17788,2561,175,108,181,15,1,23856,3963,13636,5631,23230,5443,Tharaka Nithi,EASTERN,"Table 3b: Urban Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,38.01828449,-0.136787024,"(-0.136787024, 38.01828449)",148
150,THARAKA,Rural,Female,73.09%,133.81%,40.93%,3.14%,0.77%,3.14%,0.03%,0%,2819,17917,2376,187,46,187,7,0,23539,3857,13390,5805,23052,5964,Tharaka Nithi,EASTERN,"Table 3b: Urban Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,38.01828449,-0.136787024,"(-0.136787024, 38.01828449)",149
151,EMBU,Rural,Male,55.78%,127.68%,68.92%,5.68%,2.83%,0.84%,0.06%,0.01%,3007,27086,6242,557,277,82,21,3,37275,5391,21214,9057,35662,9804,Embu,EASTERN,"Table 3b: Urban Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,37.50475286,-0.409100139,"(-0.409100139, 37.50475286)",150
152,EMBU,Rural,Female,53.91%,124.15%,75.96%,10.87%,1.95%,0.58%,0.12%,0.01%,2904,25887,6656,994,178,53,45,3,36720,5387,20852,8763,35002,9143,Embu,EASTERN,"Table 3b: Urban Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,37.50475286,-0.409100139,"(-0.409100139, 37.50475286)",151
153,MBEERE,Rural,Male,68.81%,126.43%,50.53%,3.08%,1.91%,1.43%,0.08%,0%,4673,29779,5214,332,206,154,34,2,40394,6791,23554,10318,40663,10763,Embu,EASTERN,"Table 3b: Urban Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,37.66541038,-0.666137176,"(-0.666137176, 37.66541038)",152
154,MBEERE,Rural,Female,66.02%,125.48%,51.19%,3.73%,1.48%,1.43%,0.24%,0.01%,4359,29309,4777,360,143,138,96,3,39185,6603,23357,9331,39291,9642,Embu,EASTERN,"Table 3b: Urban Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,37.66541038,-0.666137176,"(-0.666137176, 37.66541038)",153
155,KITUI,Rural,Male,85.55%,129.95%,43.66%,3.15%,1.7%,3.35%,0.06%,0%,9280,53590,7938,452,244,481,41,1,72027,10848,41238,18183,70269,14357,Kitui,EASTERN,"Table 3b: Urban Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,38.30094003,-1.392710301,"(-1.392710301, 38.30094003)",154
156,KITUI,Rural,Female,81.95%,127.73%,42.48%,3.43%,1.13%,4.55%,0.18%,0%,8443,51454,7407,482,159,639,122,2,68708,10302,40284,17436,68022,14046,Kitui,EASTERN,"Table 3b: Urban Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,38.30094003,-1.392710301,"(-1.392710301, 38.30094003)",155
157,MUTOMO,Rural,Male,92.39%,123.31%,31.82%,2.27%,0.93%,3.9%,0.03%,0.03%,5922,28674,2896,161,66,277,13,13,38022,6410,23254,9102,38766,7102,Kitui,EASTERN,"Table 3b: Urban Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,38.53912323,-2.179047638,"(-2.179047638, 38.53912323)",156
158,MUTOMO,Rural,Female,87.66%,122.81%,26.76%,2.5%,0.53%,5.01%,0.17%,0.01%,5348,27698,2291,187,40,375,60,5,36004,6101,22553,8560,37214,7480,Kitui,EASTERN,"Table 3b: Urban Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,38.53912323,-2.179047638,"(-2.179047638, 38.53912323)",157
159,MWINGI,Rural,Male,74.62%,128.83%,37.77%,3.3%,1.65%,2.16%,0.07%,0.01%,6035,38065,4782,319,159,209,37,6,49612,8088,29547,12662,50297,9664,Kitui,EASTERN,"Table 3b: Urban Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,38.36852014,-0.907180566,"(-0.907180566, 38.36852014)",158
160,MWINGI,Rural,Female,75.08%,130.31%,35.73%,3.13%,0.88%,3.24%,0.21%,0.01%,5720,36896,4369,325,92,337,102,5,47846,7619,28313,12228,48160,10399,Kitui,EASTERN,"Table 3b: Urban Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,38.36852014,-0.907180566,"(-0.907180566, 38.36852014)",159
161,KYUSO,Rural,Male,70.22%,126.46%,31.75%,1.84%,3.46%,1.84%,0.04%,0.05%,3636,22236,2285,103,193,103,12,14,28582,5178,17584,7196,29958,5586,Kitui,EASTERN,"Table 3b: Urban Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,38.27042885,-0.440861626,"(-0.440861626, 38.27042885)",160
162,KYUSO,Rural,Female,67.5%,128.5%,25.52%,1.93%,1.99%,2.73%,0.1%,0.05%,3518,22369,1837,124,128,175,29,15,28195,5212,17408,7199,29819,6422,Kitui,EASTERN,"Table 3b: Urban Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,38.27042885,-0.440861626,"(-0.440861626, 38.27042885)",161
163,MACHAKOS,Rural,Male,75.63%,130.13%,58.25%,3.8%,4.71%,2.59%,0.08%,0.02%,3333,21964,4475,270,335,184,23,6,30590,4407,16878,7682,28967,7113,Machakos,EASTERN,"Table 3b: Urban Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,37.16409824,-1.50054564,"(-1.50054564, 37.16409824)",162
164,MACHAKOS,Rural,Female,75.36%,125.92%,56.85%,4.19%,5.17%,3.35%,0.15%,0.01%,3147,20596,4052,274,338,219,42,3,28671,4176,16356,7128,27660,6536,Machakos,EASTERN,"Table 3b: Urban Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,37.16409824,-1.50054564,"(-1.50054564, 37.16409824)",163
165,MWALA,Rural,Male,82.18%,134.2%,56.95%,3.32%,1.86%,2.52%,0.1%,0%,3726,25031,5110,265,148,201,35,0,34516,4534,18652,8972,32158,7972,Machakos,EASTERN,"Table 3b: Urban Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,37.52391049,-1.399783931,"(-1.399783931, 37.52391049)",164
166,MWALA,Rural,Female,81.2%,130%,55.83%,4.8%,1.23%,3.43%,0.15%,0%,3464,23139,4510,305,78,218,48,1,31763,4266,17799,8078,30143,6358,Machakos,EASTERN,"Table 3b: Urban Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,37.52391049,-1.399783931,"(-1.399783931, 37.52391049)",165
167,YATTA,Rural,Male,68.09%,133.39%,49.93%,2.96%,1.88%,3.08%,0.08%,0.01%,4879,35584,6131,319,203,332,40,6,47494,7165,26677,12279,46121,10785,Machakos,EASTERN,"Table 3b: Urban Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,37.60220541,-1.060809489,"(-1.060809489, 37.60220541)",166
168,YATTA,Rural,Female,66.04%,129.65%,48.22%,3.92%,0.96%,3.79%,0.11%,0%,4547,33434,5360,374,92,362,49,2,44220,6885,25788,11115,43788,9547,Machakos,EASTERN,"Table 3b: Urban Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,37.60220541,-1.060809489,"(-1.060809489, 37.60220541)",167
169,KANGUNDO,Rural,Male,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Machakos,EASTERN,"Table 3b: Urban Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,37.27203719,-1.237582196,"(-1.237582196, 37.27203719)",168
170,KANGUNDO,Rural,Female,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Machakos,EASTERN,"Table 3b: Urban Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,37.27203719,-1.237582196,"(-1.237582196, 37.27203719)",169
171,MAKUENI,Rural,Male,75.18%,129.91%,59.04%,4.18%,1.97%,3.13%,0.03%,0.01%,4310,29633,6223,362,171,271,14,4,40988,5733,22811,10541,39085,8665,Makueni,EASTERN,"Table 3b: Urban Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,37.67253055,-1.881125246,"(-1.881125246, 37.67253055)",170
172,MAKUENI,Rural,Female,73.96%,127.17%,56.27%,7.41%,0.99%,3.53%,0.27%,0%,4067,28414,5553,575,77,274,104,0,39064,5499,22344,9869,37712,7765,Makueni,EASTERN,"Table 3b: Urban Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,37.67253055,-1.881125246,"(-1.881125246, 37.67253055)",171
173,MBOONI,Rural,Male,86.69%,131.19%,66%,3.29%,2.25%,1.82%,0.05%,0.01%,4605,28061,6618,284,194,157,19,4,39942,5312,21390,10028,36730,8635,Makueni,EASTERN,"Table 3b: Urban Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,37.60666503,-1.649117358,"(-1.649117358, 37.60666503)",172
174,MBOONI,Rural,Female,82.97%,128.86%,62.8%,4.29%,1.2%,2.7%,0.14%,0.01%,4215,26657,5987,326,91,205,51,2,37534,5080,20687,9534,35301,7591,Makueni,EASTERN,"Table 3b: Urban Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,37.60666503,-1.649117358,"(-1.649117358, 37.60666503)",173
175,KIBWEZI,Rural,Male,55.15%,128.4%,49.61%,2.73%,1.71%,1.65%,0.04%,0.04%,4311,35452,5822,294,184,178,19,17,46277,7817,27611,11735,47163,10772,Makueni,EASTERN,"Table 3b: Urban Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,38.02538524,-2.468788914,"(-2.468788914, 38.02538524)",174
176,KIBWEZI,Rural,Female,54.84%,125.56%,48.08%,3.12%,0.95%,2.29%,0.15%,0%,3968,33684,5122,294,90,216,64,1,43439,7235,26826,10653,44714,9428,Makueni,EASTERN,"Table 3b: Urban Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,38.02538524,-2.468788914,"(-2.468788914, 38.02538524)",175
177,NZAUI,Rural,Male,73.39%,126.4%,60.81%,3.46%,2.15%,2.2%,0.02%,0%,4346,29998,6581,332,206,211,10,1,41685,5922,23732,10823,40477,9600,Makueni,EASTERN,"Table 3b: Urban Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,37.41612392,-1.928374635,"(-1.928374635, 37.41612392)",176
178,NZAUI,Rural,Female,70.45%,123.3%,61.19%,4.99%,1.07%,3.34%,0.11%,0.01%,4072,28514,6079,390,84,261,43,3,39446,5780,23125,9934,38839,7822,Makueni,EASTERN,"Table 3b: Urban Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,37.41612392,-1.928374635,"(-1.928374635, 37.41612392)",177
179,MARSABIT,Urban,Male,85.44%,116.04%,59.1%,4.46%,5.61%,0.38%,0%,0.14%,358,1932,448,35,44,3,0,4,2824,419,1665,758,2842,784,Marsabit,EASTERN,"Table 3b: Urban Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,37.94495682,2.350360288,"(2.350360288, 37.94495682)",178
180,MARSABIT,Urban,Female,77.14%,116.36%,45.4%,4.98%,3.28%,0.12%,0.04%,0.03%,307,2020,370,41,27,1,1,1,2768,398,1736,815,2949,824,Marsabit,EASTERN,"Table 3b: Urban Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,37.94495682,2.350360288,"(2.350360288, 37.94495682)",179
181,CHALBI,Urban,Male,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Marsabit,EASTERN,"Table 3b: Urban Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,37.36288736,3.399917155,"(3.399917155, 37.36288736)",180
182,CHALBI,Urban,Female,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Marsabit,EASTERN,"Table 3b: Urban Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,37.36288736,3.399917155,"(3.399917155, 37.36288736)",181
183,LAISAMIS,Urban,Male,112.45%,84.87%,40.48%,2.54%,1.09%,1.09%,0.6%,0%,298,572,119,7,3,3,6,0,1008,265,674,294,1233,276,Marsabit,EASTERN,"Table 3b: Urban Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,37.48344825,2.238105939,"(2.238105939, 37.48344825)",182
184,LAISAMIS,Urban,Female,117.77%,68.66%,16.88%,1.24%,0.93%,0%,1.32%,0.07%,285,550,53,4,3,0,12,1,908,242,801,314,1357,323,Marsabit,EASTERN,"Table 3b: Urban Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,37.48344825,2.238105939,"(2.238105939, 37.48344825)",183
185,MOYALE,Urban,Male,93.41%,114.9%,44.12%,3.87%,2.42%,0.78%,0.03%,2.36%,1290,6515,1226,104,65,21,3,232,9456,1381,5670,2779,9830,2688,Marsabit,EASTERN,"Table 3b: Urban Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,38.80269655,3.117620629,"(3.117620629, 38.80269655)",184
186,MOYALE,Urban,Female,90.71%,107.61%,28.47%,2.81%,0.45%,0.21%,0.16%,1.9%,1181,6055,731,68,11,5,13,180,8244,1302,5627,2568,9497,2422,Marsabit,EASTERN,"Table 3b: Urban Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,38.80269655,3.117620629,"(3.117620629, 38.80269655)",185
187,ISIOLO,Urban,Male,122.88%,114.85%,57.39%,5.46%,5.46%,0.64%,0.06%,0.7%,1944,6473,1421,145,145,17,6,68,10219,1582,5636,2476,9694,2654,Isiolo,EASTERN,"Table 3b: Urban Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,38.46170147,1.255057085,"(1.255057085, 38.46170147)",186
188,ISIOLO,Urban,Female,119.21%,112.72%,48.11%,8.51%,2.51%,0.46%,0.19%,0.35%,1800,6249,1271,278,82,15,19,34,9748,1510,5544,2642,9696,3268,Isiolo,EASTERN,"Table 3b: Urban Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,38.46170147,1.255057085,"(1.255057085, 38.46170147)",187
189,GARBATULLA,Urban,Male,123.1%,149.36%,64.23%,4.58%,5.26%,0%,0%,0.53%,389,1628,307,20,23,0,0,10,2377,316,1090,478,1884,437,Isiolo,EASTERN,"Table 3b: Urban Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,38.65180184,0.627639147,"(0.627639147, 38.65180184)",188
190,GARBATULLA,Urban,Female,124.74%,151.8%,41.82%,5.07%,0.72%,0%,0.05%,0.06%,358,1436,184,21,3,0,1,1,2004,287,946,440,1673,414,Isiolo,EASTERN,"Table 3b: Urban Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,38.65180184,0.627639147,"(0.627639147, 38.65180184)",189
191,MERU CENTRAL,Urban,Male,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Meru,EASTERN,"Table 3b: Urban Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,37.58330732,0.001443681,"(0.001443681, 37.58330732)",190
192,MERU CENTRAL,Urban,Female,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Meru,EASTERN,"Table 3b: Urban Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,37.58330732,0.001443681,"(0.001443681, 37.58330732)",191
193,IMENTI NORTH,Urban,Male,114.73%,115.98%,73.76%,16.73%,11.87%,0.96%,0.07%,0.03%,1659,5873,1571,541,384,31,7,3,10069,1446,5064,2130,8640,3234,Meru,EASTERN,"Table 3b: Urban Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,37.43552549,0.083380846,"(0.083380846, 37.43552549)",192
194,IMENTI NORTH,Urban,Female,112.62%,111.85%,75.94%,21.33%,7.45%,0.41%,0.16%,0.03%,1633,5672,1875,928,324,18,17,3,10470,1450,5071,2469,8990,4351,Meru,EASTERN,"Table 3b: Urban Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,37.43552549,0.083380846,"(0.083380846, 37.43552549)",193
195,IMENTI SOUTH,Urban,Male,110.11%,110.81%,116.99%,11.79%,6.07%,0.95%,0%,0%,294,892,723,99,51,8,0,0,2067,267,805,618,1690,840,Meru,EASTERN,"Table 3b: Urban Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,37.60133849,-0.122681965,"(-0.122681965, 37.60133849)",194
196,IMENTI SOUTH,Urban,Female,105.65%,112.26%,60.68%,22.44%,3.49%,0%,0%,0%,299,1117,250,193,30,0,0,0,1889,283,995,412,1690,860,Meru,EASTERN,"Table 3b: Urban Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,37.60133849,-0.122681965,"(-0.122681965, 37.60133849)",195
197,MERU SOUTH,Urban,Male,93.51%,122.14%,74.67%,6.25%,15.41%,1.6%,0.16%,0%,1051,4645,1262,133,328,34,12,0,7465,1124,3803,1690,6617,2129,Meru,EASTERN,"Table 3b: Urban Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,37.67297626,-0.330686401,"(-0.330686401, 37.67297626)",196
198,MERU SOUTH,Urban,Female,95.57%,115.66%,80.56%,8.47%,11.55%,0.58%,0.36%,0.02%,992,4417,1388,190,259,13,26,1,7286,1038,3819,1723,6580,2243,Meru,EASTERN,"Table 3b: Urban Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,37.67297626,-0.330686401,"(-0.330686401, 37.67297626)",197
199,MAARA,Urban,Male,68.92%,120.53%,80.47%,8.36%,4.11%,1.59%,0.08%,0%,459,3493,1059,126,62,24,4,0,5227,666,2898,1316,4880,1508,Meru,EASTERN,"Table 3b: Urban Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,37.62522793,-0.228019729,"(-0.228019729, 37.62522793)",198
200,MAARA,Urban,Female,62.35%,115.68%,88.81%,15.82%,4.01%,1.76%,0.14%,0%,429,3320,1087,225,57,25,7,0,5150,688,2870,1224,4782,1422,Meru,EASTERN,"Table 3b: Urban Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,37.62522793,-0.228019729,"(-0.228019729, 37.62522793)",199
201,IGEMBE,Urban,Male,92.12%,111.82%,44.41%,6.44%,4.8%,0.27%,0%,0.1%,678,2752,425,94,70,4,0,4,4027,736,2461,957,4154,1459,Meru,EASTERN,"Table 3b: Urban Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,38.05720532,0.303772382,"(0.303772382, 38.05720532)",200
202,IGEMBE,Urban,Female,87.13%,114.08%,59.13%,11.16%,2.47%,0.37%,0%,0.04%,650,2949,858,240,53,8,0,2,4760,746,2585,1451,4782,2150,Meru,EASTERN,"Table 3b: Urban Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,38.05720532,0.303772382,"(0.303772382, 38.05720532)",201
203,TIGANIA,Urban,Male,75.61%,114.03%,50%,5.19%,3.25%,0.65%,0%,0%,62,382,71,8,5,1,0,0,529,82,335,142,559,154,Meru,EASTERN,"Table 3b: Urban Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,37.77333779,0.256927453,"(0.256927453, 37.77333779)",202
204,TIGANIA,Urban,Female,65.91%,111.86%,55.83%,4.12%,2.06%,0%,0.17%,0%,58,415,91,8,4,0,1,0,577,88,371,163,622,194,Meru,EASTERN,"Table 3b: Urban Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,37.77333779,0.256927453,"(0.256927453, 37.77333779)",203
205,THARAKA,Urban,Male,78.93%,137.55%,43.25%,10.5%,4.72%,3.41%,0%,0%,191,1143,173,40,18,13,0,0,1578,242,831,400,1473,381,Tharaka Nithi,EASTERN,"Table 3b: Urban Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,38.01828449,-0.136787024,"(-0.136787024, 38.01828449)",204
206,THARAKA,Urban,Female,84.98%,131.27%,37.2%,17.65%,2.94%,2.71%,0%,0%,198,1146,157,78,13,12,0,0,1604,233,873,422,1528,442,Tharaka Nithi,EASTERN,"Table 3b: Urban Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,38.01828449,-0.136787024,"(-0.136787024, 38.01828449)",205
207,EMBU,Urban,Male,86.15%,117.88%,81.1%,12.62%,8.29%,1.66%,0.1%,0.07%,1449,7647,2232,501,329,66,12,8,12244,1682,6487,2752,10921,3970,Embu,EASTERN,"Table 3b: Urban Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,37.50475286,-0.409100139,"(-0.409100139, 37.50475286)",206
208,EMBU,Urban,Female,77.84%,116.32%,85.65%,19.52%,6.98%,0.73%,0.06%,0.03%,1321,7791,2615,915,327,34,8,3,13014,1697,6698,3053,11448,4687,Embu,EASTERN,"Table 3b: Urban Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,37.50475286,-0.409100139,"(-0.409100139, 37.50475286)",207
209,MBEERE,Urban,Male,55.56%,138.58%,60.19%,10.94%,8.59%,0%,0%,0%,35,273,62,14,11,0,0,0,395,63,197,103,363,128,Embu,EASTERN,"Table 3b: Urban Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,37.66541038,-0.666137176,"(-0.666137176, 37.66541038)",208
210,MBEERE,Urban,Female,60.78%,131.92%,55.91%,14.29%,6.83%,2.48%,0.24%,0%,31,281,71,23,11,4,1,0,422,51,213,127,391,161,Embu,EASTERN,"Table 3b: Urban Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,37.66541038,-0.666137176,"(-0.666137176, 37.66541038)",209
211,KITUI,Urban,Male,107.37%,128.8%,60.98%,7.2%,3.72%,2.42%,0.07%,0.02%,3451,16341,3753,470,243,158,16,4,24436,3214,12687,6154,22055,6530,Kitui,EASTERN,"Table 3b: Urban Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,38.30094003,-1.392710301,"(-1.392710301, 38.30094003)",210
212,KITUI,Urban,Female,106.07%,123.95%,62.49%,13.16%,3.04%,3.28%,0.24%,0.02%,3235,15406,3848,823,190,205,57,4,23768,3050,12429,6158,21637,6254,Kitui,EASTERN,"Table 3b: Urban Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,38.30094003,-1.392710301,"(-1.392710301, 38.30094003)",211
213,MUTOMO,Urban,Male,48.65%,125.89%,57.14%,6.94%,2.78%,0%,0%,0%,18,141,20,5,2,0,0,0,186,37,112,35,184,72,Kitui,EASTERN,"Table 3b: Urban Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,38.53912323,-2.179047638,"(-2.179047638, 38.53912323)",212
